employee_job_position_id,employee_id,job_position_id,salary,start_date,end_date
116,116,2,,2017-10-24,
117,117,25,,2011-11-10,
118,118,23,,2015-02-23,
119,119,48,,2012-02-09,
120,120,6,,2013-06-11,
121,121,31,,2012-03-26,
122,122,27,,2017-01-30,
123,123,47,,2011-08-06,
124,124,42,,2013-06-25,
125,125,7,,2015-03-26,
126,126,7,,2014-04-23,
127,127,9,,2012-05-30,
128,128,4,,2018-08-15,
129,129,8,,2017-02-02,
130,130,34,,2010-01-08,
131,131,4,,2014-11-14,
132,132,18,,2011-03-17,
133,133,4,,2018-11-30,
134,134,24,,2014-04-20,
135,135,42,,2014-11-27,
136,136,9,,2010-12-12,
137,137,17,,2014-03-11,
138,138,18,,2018-01-12,
139,139,5,,2014-12-05,
140,140,22,,2015-10-12,
141,141,19,,2014-04-12,
142,142,20,,2018-03-31,
143,143,40,,2017-09-05,
144,144,25,0,2013-10-07,2019-08-30
145,145,43,,2013-06-20,
146,146,25,,2012-12-18,
147,147,21,,2018-06-01,
148,148,47,,2014-04-25,
149,149,43,,2017-12-20,
150,150,22,,2018-05-29,
151,151,29,,2013-01-29,
152,152,38,,2012-10-23,
153,153,49,,2016-11-25,
154,154,12,,2012-10-12,
155,155,41,,2017-09-14,
156,156,32,,2017-12-29,
157,157,15,,2016-12-01,
158,158,14,,2010-11-22,
159,159,12,,2010-01-21,
160,160,41,,2015-03-31,
161,161,44,,2014-03-09,
162,162,18,,2010-06-10,
163,163,31,,2018-05-08,
164,164,45,,2016-07-01,
165,165,35,,2014-11-24,
166,166,6,,2018-01-08,
167,167,37,,2013-06-22,
168,168,27,,2011-11-08,
169,169,23,,2018-12-04,
170,170,18,,2011-10-24,
171,171,49,,2018-08-11,
172,172,20,,2015-04-20,
173,173,45,,2018-08-08,
174,174,29,,2018-05-13,
175,175,40,,2012-01-09,
176,176,32,,2010-10-03,
177,177,29,,2011-08-04,
178,178,32,,2010-06-16,
179,179,13,,2016-06-22,
180,180,32,,2016-11-02,
181,181,43,,2013-10-20,
182,182,22,,2016-10-25,
183,183,50,,2014-10-02,
184,184,10,,2013-05-20,
185,185,26,,2011-03-18,
186,186,38,,2012-07-21,
187,187,43,,2016-07-11,
188,188,38,,2016-07-03,
189,189,4,,2011-04-11,
190,190,17,,2016-02-15,
191,191,48,,2012-07-17,
192,192,2,,2014-10-29,
193,193,3,,2018-10-25,
194,194,37,,2014-09-27,
195,195,33,,2015-12-15,
196,196,20,,2016-06-17,
197,197,18,,2011-11-20,
198,198,35,,2010-08-06,
199,199,6,,2016-03-15,
200,200,10,,2011-12-05,
